,No. overall,No. in season,Title,Stardate,Directed by,Written by,Original air date,U.S. viewers (millions),merge_index
10,136,10,"""Chain of Command, Part I""",46357.4,Robert Scheerer,Teleplay: Ronald D. Moore Story: Frank Abatemarco,"December?14,?1992?(1992-12-14)",10.2[7],135
11,137,11,"""Chain of Command, Part II""",46360.8,Les Landau,Frank Abatemarco,"December?21,?1992?(1992-12-21)",12.9[7],136
12,138,12,"""Ship in a Bottle""",46424.1,Alexander Singer,Ren? Echevarria,"January?25,?1993?(1993-01-25)",11.3[7],137
13,139,13,"""Aquiel""",46461.3,Cliff Bole,Teleplay: Brannon Braga & Ronald D. Moore Story: Jeri Taylor,"February?1,?1993?(1993-02-01)",14.1[7],138
14,140,14,"""Face of the Enemy""",46519.1,Gabrielle Beaumont,Teleplay: Naren Shankar Story: Ren? Echevarria,"February?8,?1993?(1993-02-08)",13.1[7],139
15,141,15,"""Tapestry""",Unknown,Les Landau,Ronald D. Moore,"February?15,?1993?(1993-02-15)",13.8[7],140
16,142,16,"""Birthright, Part I""",46578.4,Winrich Kolbe,Brannon Braga,"February?22,?1993?(1993-02-22)",13.2[7],141
17,143,17,"""Birthright, Part II""",46579.2,Dan Curry,Ren? Echevarria,"March?1,?1993?(1993-03-01)",13.4[7],142
18,144,18,"""Starship Mine""",46682.4,Cliff Bole,Morgan Gendel,"March?29,?1993?(1993-03-29)",13.0[7],143
19,145,19,"""Lessons""",46693.1,Robert Wiemer,Ron Wilkerson & Jean Louise Matthias,"April?5,?1993?(1993-04-05)",12.2[7],144
20,146,20,"""The Chase""",46731.5,Jonathan Frakes,Teleplay: Joe Menosky Story: Ronald D. Moore & Joe Menosky,"April?26,?1993?(1993-04-26)",11.2[7],145
21,147,21,"""Frame of Mind""",46778.1,James L. Conway,Brannon Braga,"May?3,?1993?(1993-05-03)",11.4[7],146
22,148,22,"""Suspicions""",46830.1,Cliff Bole,Joe Menosky and Naren Shankar,"May?10,?1993?(1993-05-10)",11.3[7],147
23,149,23,"""Rightful Heir""",46852.2,Winrich Kolbe,Teleplay: Ronald D. Moore Story: James E. Brooks,"May?17,?1993?(1993-05-17)",10.6[7],148
24,150,24,"""Second Chances""",46915.2,LeVar Burton,Teleplay: Ren? Echevarria Story: Michael Medlock,"May?24,?1993?(1993-05-24)",9.7[7],149
25,151,25,"""Timescape""",46944.2,Adam Nimoy,Brannon Braga,"June?14,?1993?(1993-06-14)",11.6[7],150
26,152,26,"""Descent, Part I""",46982.1,Alexander Singer,Teleplay: Ronald D. Moore Story: Jeri Taylor,"June?21,?1993?(1993-06-21)",11.7[7],151
1,153,1,"""Descent, Part II""",47025.4,Alexander Singer,Ren? Echevarria,"September?20,?1993?(1993-09-20)",13.0[8],152
2,154,2,"""Liaisons""",Unknown,Cliff Bole,Teleplay by: Jeanne Carrigan-Fauci & Lisa Rich Story by: Roger Eschbacher & Jaq Greenspon,"September?27,?1993?(1993-09-27)",12.2[8],153
3,155,3,"""Interface""",47215.5,Robert Wiemer,Joe Menosky,"October?4,?1993?(1993-10-04)",11.7[8],154
4,156,4,"""Gambit, Part I""",47135.2,Peter Lauritson,Teleplay by: Naren Shankar Story by: Christopher Hatton and Naren Shankar,"October?11,?1993?(1993-10-11)",11.9[8],155
5,157,5,"""Gambit, Part II""",47160.1,Alexander Singer,Teleplay by: Ronald D. Moore Story by: Naren Shankar,"October?18,?1993?(1993-10-18)",12.0[8],156
6,158,6,"""Phantasms""",47225.7,Patrick Stewart,Brannon Braga,"October?25,?1993?(1993-10-25)",12.2[8],157
7,159,7,"""Dark Page""",47254.1,Les Landau,Hilary J. Bader,"November?1,?1993?(1993-11-01)",11.6[8],158
8,160,8,"""Attached""",47304.2,Jonathan Frakes,Nicholas Sagan,"November?8,?1993?(1993-11-08)",12.1[8],159
9,161,9,"""Force of Nature""",47310.2,Robert Lederman,Naren Shankar,"November?15,?1993?(1993-11-15)",11.9[8],160
10,162,10,"""Inheritance""",47410.2,Robert Scheerer,Teleplay by: Dan Koeppel and Ren? Echevarria Story by: Dan Koeppel,"November?22,?1993?(1993-11-22)",11.6[8],161
11,163,11,"""Parallels""",47391.2,Robert Wiemer,Brannon Braga,"November?29,?1993?(1993-11-29)",12.8[8],162
12,164,12,"""The Pegasus""",47457.1,LeVar Burton,Ronald D. Moore,"January?10,?1994?(1994-01-10)",11.9[8],163
13,165,13,"""Homeward""",47423.9,Alexander Singer,Teleplay by: Naren Shankar Story by: Spike Steingasser Based on material by William N. Stape,"January?17,?1994?(1994-01-17)",11.8[8],164
